Date,Open,High,Low,Close,Volume
2024-08-21,112.81,112.85,112.7,112.8,20833852
2024-08-22,115.98,116.65,115.74,116.0,26979876
2024-08-23,116.39,117.28,115.08,115.96,18953116
2024-08-26,119.28,119.5,119.22,119.31,18297555
2024-08-27,114.2,114.42,113.6,113.85,25597634
2024-08-28,115.8,116.71,115.01,115.58,15041466
2024-08-29,115.05,115.97,114.3,115.79,12131183
2024-08-30,115.32,115.59,115.1,115.21,28196999
2024-09-02,115.34,115.77,115.24,115.43,31293819
2024-09-03,111.56,111.93,111.15,111.41,22199181
2024-09-04,110.18,111.55,109.92,111.0,20991576
2024-09-05,111.84,111.92,111.67,111.75,31033211
2024-09-06,114.64,114.91,114.63,114.8,18126770
2024-09-09,113.8,114.32,113.36,113.77,16819764
2024-09-10,112.46,112.73,111.41,112.16,29245818
2024-09-11,111.65,111.8,111.1,111.18,25054229
2024-09-12,113.45,114.24,112.81,113.06,31389260
2024-09-13,113.77,113.83,113.76,113.77,12158404
2024-09-16,112.83,113.26,112.69,112.72,16595956
2024-09-17,113.59,114.0,113.58,113.8,25085992
2024-09-18,114.07,114.28,113.92,114.04,27506042
2024-09-19,116.44,116.77,115.81,116.08,30081982
2024-09-20,114.57,114.7,114.51,114.65,26048906
2024-09-23,113.94,114.14,113.72,114.01,25987930
2024-09-24,113.69,114.87,113.24,113.25,22663590
2024-09-25,110.53,110.6,110.29,110.33,34545429
2024-09-26,111.19,111.22,110.94,110.96,18381859
2024-09-27,111.27,111.79,111.21,111.51,27154120
2024-09-30,111.35,112.48,111.0,111.56,19073146
2024-10-01,111.15,112.02,110.66,111.12,28208671
2024-10-02,107.75,109.51,107.21,108.36,18777894
2024-10-03,107.41,107.78,107.22,107.57,29462894
2024-10-04,106.74,107.54,106.13,106.94,25672629
2024-10-07,105.08,105.77,105.02,105.44,35467835
2024-10-08,105.63,105.63,104.73,105.17,23313882
2024-10-09,106.84,108.03,105.71,105.97,27549796
2024-10-10,110.11,110.99,109.16,109.66,20322062
2024-10-11,110.42,110.64,109.5,110.04,23272641
2024-10-14,110.58,110.61,110.58,110.58,25634496
2024-10-15,110.3,110.57,110.29,110.47,15836680
2024-10-16,107.41,109.01,106.73,106.75,16494256
2024-10-17,107.91,108.92,104.66,106.73,28599155
2024-10-18,106.89,106.91,106.8,106.88,24123479
2024-10-21,111.69,111.81,111.64,111.76,21442440
2024-10-22,111.58,111.91,111.27,111.4,20578082
2024-10-23,112.04,112.08,112.04,112.04,20809067
2024-10-24,112.14,112.2,111.89,112.01,25675304
2024-10-25,110.07,110.64,108.8,109.71,27670215
2024-10-28,111.71,112.07,111.39,112.02,12447356
2024-10-29,112.39,114.17,111.72,113.58,33477004
2024-10-30,116.17,117.55,115.11,115.25,33050204
2024-10-31,112.43,114.34,111.47,113.41,11016071
2024-11-01,116.24,116.44,116.02,116.34,31515560
2024-11-04,112.98,113.62,112.53,113.48,31331313
2024-11-05,114.73,114.81,114.68,114.72,25002672
2024-11-06,119.37,119.38,119.36,119.37,17216988
2024-11-07,117.31,118.05,116.45,117.29,31091368
2024-11-08,115.75,117.97,114.65,116.14,23552613
2024-11-11,117.15,118.22,116.33,116.38,28293273
2024-11-12,115.47,115.5,115.3,115.37,38315207
2024-11-13,112.34,112.66,112.02,112.22,26511020
2024-11-14,112.12,113.04,111.12,112.4,19498691
2024-11-15,110.95,111.42,110.28,110.3,22985614
2024-11-18,111.09,111.62,110.94,111.28,20263327
2024-11-19,109.44,109.56,109.4,109.49,27600938
2024-11-20,113.32,113.44,112.18,112.62,20163594
2024-11-21,110.78,111.79,110.76,111.07,22162891
2024-11-22,110.49,110.52,110.29,110.46,17293417
2024-11-25,111.3,112.46,110.37,112.13,24207477
2024-11-26,109.81,109.87,109.59,109.7,26060528
2024-11-27,109.8,110.34,108.91,110.19,8891271
2024-11-28,112.73,113.03,112.7,112.84,26557441
2024-11-29,109.5,109.82,109.39,109.66,24725798
2024-12-02,109.4,110.13,108.37,110.06,20410048
2024-12-03,110.61,110.61,110.59,110.61,37171773
2024-12-04,112.17,112.25,112.04,112.21,30750859
2024-12-05,109.43,110.82,109.19,109.77,18421585
2024-12-06,107.06,107.38,106.9,107.22,30029421
2024-12-09,108.95,109.48,107.71,108.27,32466988
2024-12-10,108.73,108.99,108.7,108.88,25792125
2024-12-11,109.13,109.61,108.69,109.41,27168652
2024-12-12,109.52,111.62,109.43,110.12,27030080
2024-12-13,108.84,108.85,108.75,108.82,12485104
2024-12-16,109.3,109.31,109.29,109.3,23878782
2024-12-17,109.92,109.92,109.9,109.92,23566522
2024-12-18,108.5,108.56,108.45,108.54,33580933
2024-12-19,112.36,112.44,112.22,112.28,27002367
2024-12-20,113.16,113.56,113.1,113.28,23214334
2024-12-23,110.55,111.01,110.53,110.91,24459251
2024-12-24,112.28,112.29,112.24,112.26,31140313
2024-12-25,110.0,110.59,109.7,110.34,23892492
2024-12-26,112.04,112.39,111.87,111.95,20810826
2024-12-27,114.29,114.36,114.27,114.34,23345786
2024-12-30,112.6,112.92,112.54,112.7,30644176
2024-12-31,114.57,115.14,114.45,114.71,27976989
2025-01-01,114.72,115.62,114.12,115.6,25265607
2025-01-02,116.77,117.42,116.7,117.36,26149235
2025-01-03,121.64,122.46,119.41,121.47,21641545
2025-01-06,121.49,123.61,120.95,120.97,23836303
2025-01-07,119.29,119.58,119.01,119.38,21020174
2025-01-08,117.35,117.57,117.31,117.51,23231324
2025-01-09,115.32,115.9,114.22,115.84,33077069
2025-01-10,115.39,116.01,114.78,115.71,18532769
2025-01-13,116.56,116.62,115.69,116.46,20867694
2025-01-14,116.29,117.18,115.98,117.07,17474206
2025-01-15,119.37,119.7,118.65,118.87,16174547
2025-01-16,118.85,119.57,118.5,118.93,23879368
2025-01-17,122.64,123.03,121.96,122.12,21294344
2025-01-20,121.86,122.6,120.19,121.58,35570133
2025-01-21,127.82,128.0,127.63,127.71,23302920
2025-01-22,129.28,129.68,129.09,129.2,32736381
2025-01-23,126.89,129.06,126.17,127.26,30808038
2025-01-24,124.99,125.02,124.18,124.87,23746275
2025-01-27,126.01,126.06,125.89,125.99,37660813
2025-01-28,125.67,125.86,125.43,125.53,26611203
2025-01-29,127.33,127.46,126.63,127.19,34078055
2025-01-30,128.5,128.62,128.09,128.31,33379581
2025-01-31,128.42,128.54,127.95,128.19,27487887
2025-02-03,126.1,126.73,125.14,126.28,29506785
2025-02-04,122.66,123.21,121.67,122.92,28744428
2025-02-05,121.87,122.34,121.59,121.98,18134431
2025-02-06,123.94,124.88,123.84,123.91,25343742
2025-02-07,124.48,124.53,124.4,124.42,31445483
2025-02-10,121.53,121.73,121.36,121.7,34157117
2025-02-11,122.08,122.4,121.05,122.12,20676161
2025-02-12,123.03,124.02,122.05,123.01,28172987
2025-02-13,121.23,121.24,121.09,121.1,25905221
2025-02-14,121.59,121.85,121.01,121.47,24292755
2025-02-17,121.82,122.59,120.94,121.64,27136015
2025-02-18,119.3,119.32,119.11,119.19,26307984
2025-02-19,119.84,120.36,117.7,120.0,28248445
2025-02-20,121.18,123.08,120.47,121.25,33650300
2025-02-21,123.58,124.32,122.71,123.68,29704765
2025-02-24,125.57,126.89,125.51,126.09,26863547
2025-02-25,122.22,123.77,122.21,123.03,36187750
2025-02-26,120.35,121.1,119.7,121.01,31659577
2025-02-27,121.04,123.56,121.0,122.17,24445609
2025-02-28,123.5,123.5,123.09,123.35,17697277
2025-03-03,124.58,124.61,124.52,124.53,19073015
2025-03-04,133.95,133.97,133.15,133.52,30599394
2025-03-05,134.84,135.1,134.65,134.93,21218125
2025-03-06,137.74,137.78,137.73,137.76,18951667
2025-03-07,140.67,141.19,139.04,140.19,20451488
2025-03-10,141.8,141.93,141.79,141.89,20875694
2025-03-11,141.24,141.36,141.11,141.13,30103886
2025-03-12,142.84,143.3,142.59,143.11,24059547
2025-03-13,141.19,141.25,141.15,141.18,16765752
2025-03-14,140.82,140.84,140.17,140.62,25186269
2025-03-17,139.48,139.89,139.14,139.44,26333596
2025-03-18,140.23,140.7,138.79,139.68,22123978
2025-03-19,145.95,146.11,144.97,145.67,31935310
2025-03-20,140.95,140.96,140.82,140.9,22474366
2025-03-21,142.6,142.7,142.51,142.69,31650026
2025-03-24,138.65,138.66,138.62,138.65,28580696
2025-03-25,137.63,137.65,137.3,137.52,30559633
2025-03-26,140.18,140.6,140.04,140.28,18408694
2025-03-27,140.2,141.0,140.11,140.49,25589861
2025-03-28,137.9,137.9,137.73,137.83,24683031
2025-03-31,136.25,136.91,135.6,136.11,16467960
2025-04-01,138.08,138.22,137.37,137.82,31630364
2025-04-02,136.95,138.41,135.95,136.06,20095594
2025-04-03,136.33,137.02,135.86,136.64,21342593
2025-04-04,137.04,137.61,136.78,136.79,18920104
2025-04-07,135.23,135.27,135.14,135.24,29207117
2025-04-08,140.25,140.84,140.22,140.6,15844421
2025-04-09,143.37,144.93,142.02,142.25,28707248
2025-04-10,137.09,138.0,136.66,137.2,31267083
2025-04-11,138.45,139.1,136.9,137.71,28223070
2025-04-14,135.15,136.76,134.65,136.12,29275770
2025-04-15,138.28,138.36,138.12,138.26,29557278
2025-04-16,136.33,136.37,136.32,136.35,19303454
2025-04-17,136.06,136.14,135.93,136.1,33608409
2025-04-18,137.94,138.41,136.71,137.39,22239542
2025-04-21,139.55,139.67,139.51,139.59,24601674
2025-04-22,136.09,137.06,135.9,136.65,23004176
2025-04-23,135.77,136.04,135.25,135.87,27949252
2025-04-24,134.02,134.99,132.59,134.75,21771776
2025-04-25,132.65,133.5,131.96,133.21,25401494
2025-04-28,138.16,138.65,136.8,137.56,17587937
2025-04-29,139.07,139.41,138.19,138.61,31987991
2025-04-30,135.35,135.74,135.18,135.54,29024445
2025-05-01,137.97,138.45,137.67,137.83,23246441
2025-05-02,141.71,143.61,138.38,143.24,22185105
2025-05-05,145.63,146.38,145.52,145.98,28867769
2025-05-06,142.13,142.22,142.0,142.08,20756239
2025-05-07,141.27,141.39,140.26,140.89,25752191
2025-05-08,143.84,144.28,143.77,144.18,31968392
2025-05-09,142.62,142.72,142.39,142.4,20132457
2025-05-12,143.52,143.63,143.47,143.59,27211604
2025-05-13,145.99,146.0,145.64,145.65,26894351
2025-05-14,143.25,143.3,143.14,143.28,24415979
2025-05-15,143.97,144.0,142.75,143.17,21977262
2025-05-16,134.95,135.62,134.85,135.09,32288782
2025-05-19,132.67,132.7,132.65,132.67,21414588
2025-05-20,131.86,133.44,131.17,132.1,14127766
2025-05-21,129.53,129.63,128.36,129.21,28843201
2025-05-22,132.42,133.14,130.22,133.1,17792179
2025-05-23,129.36,129.88,129.11,129.76,29151286
2025-05-26,129.02,129.64,128.74,128.77,33009419
2025-05-27,129.51,129.6,129.04,129.11,28778499
2025-05-28,133.29,133.78,131.79,132.55,31428467
2025-05-29,129.07,129.44,128.9,129.2,37120294
2025-05-30,131.71,132.25,131.34,131.98,30800562
2025-06-02,131.99,132.18,131.97,132.04,26983440
2025-06-03,129.87,130.15,129.72,129.77,34803689
2025-06-04,130.9,130.92,130.87,130.89,35528653
2025-06-05,131.31,131.52,130.68,131.4,35612630
2025-06-06,130.03,130.25,129.95,130.03,22047138
2025-06-09,129.21,130.37,129.08,130.23,16875889
2025-06-10,129.58,129.89,129.33,129.37,21680846
2025-06-11,129.49,129.71,129.47,129.67,29221849
2025-06-12,131.35,132.14,131.07,131.27,25954953
2025-06-13,135.23,135.58,134.7,135.11,23761114
2025-06-16,131.88,132.7,131.87,132.17,28362888
2025-06-17,137.24,137.55,137.07,137.39,16175169
2025-06-18,132.63,132.72,132.62,132.68,25847015
2025-06-19,133.34,133.94,131.05,132.36,31710745
2025-06-20,134.08,134.2,133.54,133.81,28295893
2025-06-23,134.45,134.62,134.34,134.53,29150858
2025-06-24,133.03,133.42,132.79,133.07,34584236
2025-06-25,133.07,133.69,131.66,132.61,24603140
2025-06-26,132.2,133.05,131.32,131.48,21081450
2025-06-27,130.81,131.81,129.34,130.13,32137090
2025-06-30,132.15,132.21,132.15,132.18,32026723
2025-07-01,133.4,133.45,132.39,133.07,28349750
2025-07-02,131.47,131.49,131.45,131.46,24037773
2025-07-03,133.66,133.66,133.64,133.64,25008277
2025-07-04,134.64,134.73,134.04,134.43,17339362
2025-07-07,136.81,136.94,136.02,136.45,31677679
2025-07-08,138.04,138.09,138.0,138.04,31465907
2025-07-09,136.37,136.73,135.71,136.04,17129903
2025-07-10,134.5,135.03,134.37,134.72,30205792
2025-07-11,136.72,136.8,136.44,136.58,27424609
2025-07-14,138.12,138.21,138.09,138.13,18868155
2025-07-15,137.82,138.28,137.54,138.12,17763998
2025-07-16,138.14,139.1,138.12,138.45,27240959
2025-07-17,141.67,142.56,141.37,141.72,22613775
2025-07-18,140.31,140.44,140.16,140.26,35919693
2025-07-21,141.81,142.39,141.59,141.69,30715590
2025-07-22,140.8,141.34,140.06,141.22,27842158
2025-07-23,140.54,140.84,140.34,140.71,28138474
2025-07-24,143.27,144.5,142.32,143.56,32985203
2025-07-25,145.6,146.51,143.94,145.75,30079108
2025-07-28,147.84,148.07,147.79,147.95,27998598
2025-07-29,151.57,152.35,151.41,151.51,19118432
2025-07-30,151.68,151.73,151.61,151.61,43371681
2025-07-31,153.41,153.75,152.95,153.53,18380903
2025-08-01,152.29,152.97,151.84,152.72,23124743
2025-08-04,154.51,155.51,153.05,153.66,15071630
2025-08-05,152.55,153.6,151.86,153.35,28232788
2025-08-06,153.86,154.32,153.24,153.66,25906662
2025-08-07,155.34,156.12,154.88,155.37,29591658
2025-08-08,154.22,154.37,151.81,153.14,14565606
2025-08-11,159.21,160.54,158.21,159.06,31677434
2025-08-12,156.01,156.36,155.77,156.26,20155387
2025-08-13,153.04,153.06,152.45,152.93,24105968
2025-08-14,156.11,156.23,156.1,156.19,30589427
2025-08-15,157.73,159.45,157.51,158.48,26567600
2025-08-18,159.57,160.48,159.43,160.32,26991655
2025-08-19,162.71,163.04,160.99,162.19,29795072
2025-08-20,162.36,162.62,161.02,162.21,27572743
2025-08-21,159.68,159.7,159.64,159.66,22953352
2025-08-22,159.7,159.96,159.23,159.92,24001185
2025-08-25,156.78,158.4,155.83,158.03,26271272
2025-08-26,160.8,161.56,160.06,160.88,19626663
2025-08-27,159.85,160.9,159.26,160.5,30976051
2025-08-28,158.17,158.29,158.13,158.18,26731923
2025-08-29,157.3,157.33,157.25,157.32,25448657
2025-09-01,159.06,159.24,158.33,158.54,32154979
2025-09-02,156.44,157.53,156.14,156.98,24279318
2025-09-03,154.99,155.25,153.74,154.72,23905474
2025-09-04,155.35,155.46,155.3,155.45,22092227
2025-09-05,155.92,156.88,155.43,156.18,27058402
2025-09-08,154.7,154.88,154.58,154.81,26850700
2025-09-09,155.65,158.56,151.69,153.55,21002294
2025-09-10,154.47,154.84,154.07,154.24,23933836
2025-09-11,150.54,150.95,150.15,150.32,21042386
2025-09-12,146.75,147.13,146.6,146.6,20770789
2025-09-15,145.16,145.32,144.49,144.76,14620613
2025-09-16,143.77,144.65,143.21,144.25,23614538
2025-09-17,144.99,145.85,144.68,145.1,14786720
2025-09-18,149.55,149.76,148.56,149.05,22223105
2025-09-19,151.52,151.83,151.02,151.42,21323832
2025-09-22,151.1,151.5,150.4,151.03,31311370
2025-09-23,150.93,151.05,150.68,151.02,18910391
2025-09-24,148.35,148.55,147.97,148.36,20432881
2025-09-25,147.89,148.69,147.69,148.36,22710855
2025-09-26,147.63,147.64,147.62,147.63,21519138
2025-09-29,147.21,148.91,146.07,148.54,33215528
2025-09-30,145.43,147.65,144.81,146.39,18168595
2025-10-01,148.73,149.07,145.68,147.81,22723573
2025-10-02,151.5,152.27,151.2,151.99,26992391
2025-10-03,152.0,152.19,151.01,151.73,30287100
2025-10-06,152.71,153.44,152.56,152.88,22718550
2025-10-07,154.91,155.36,154.58,154.84,13491402
2025-10-08,153.31,154.1,152.81,153.77,24099374
2025-10-09,153.07,156.63,151.95,154.44,33112170
2025-10-10,154.42,154.57,154.26,154.52,26693124
2025-10-13,154.41,155.36,153.92,154.84,26418507
2025-10-14,153.24,153.47,152.49,152.74,18621892
2025-10-15,153.42,154.55,152.25,152.86,18005970
2025-10-16,154.29,154.31,154.25,154.28,25108249
2025-10-17,159.52,161.19,156.78,158.41,16441726
2025-10-20,161.02,161.92,160.68,161.22,29688173
2025-10-21,167.71,167.89,167.53,167.64,19920122
2025-10-22,165.37,165.4,165.37,165.39,24852056
2025-10-23,167.72,168.98,166.63,168.06,13685398
2025-10-24,167.01,168.72,164.03,168.66,22637188
2025-10-27,175.91,176.02,174.73,175.5,17884836
2025-10-28,172.65,173.99,172.4,173.01,11068261
2025-10-29,169.57,170.83,169.37,170.47,28251052
2025-10-30,168.71,168.79,167.7,168.69,34846957
2025-10-31,162.03,164.54,161.48,162.41,31776841
2025-11-03,160.63,161.21,160.42,160.93,29090144
2025-11-04,159.02,159.64,158.64,158.79,22515272
2025-11-05,159.27,159.32,159.01,159.27,29835341
2025-11-06,160.52,160.61,160.21,160.3,32343119
2025-11-07,166.44,166.56,164.82,165.86,25820930
2025-11-10,168.91,169.09,168.45,168.77,17893838
2025-11-11,168.0,169.89,166.25,167.08,22003694
2025-11-12,165.54,165.74,163.71,164.45,35216178
2025-11-13,166.96,169.24,165.92,165.96,24551534
2025-11-14,161.53,162.34,161.04,162.11,5051465
2025-11-17,167.58,167.76,167.27,167.59,16186459
2025-11-18,171.1,171.35,171.08,171.24,22453307
2025-11-19,170.02,170.68,168.79,169.85,31214951
2025-11-20,165.05,165.18,164.1,164.74,23361265
2025-11-21,168.85,168.86,168.61,168.86,31326589
2025-11-24,168.61,168.96,168.54,168.56,21843025
2025-11-25,172.44,172.45,172.39,172.41,13214244
2025-11-26,167.22,168.08,166.27,167.58,22050633
2025-11-27,165.94,166.36,165.77,165.84,27069670
2025-11-28,165.89,165.91,165.86,165.9,26571702
2025-12-01,165.68,166.29,165.1,166.09,17469353
2025-12-02,165.31,165.77,164.48,164.8,22892822
2025-12-03,167.27,167.38,166.04,166.71,41108045
2025-12-04,162.39,165.09,160.32,163.58,17600387
2025-12-05,163.24,163.3,162.96,163.21,28964340
2025-12-08,163.81,163.83,163.46,163.62,12419945
2025-12-09,164.94,165.62,164.82,165.19,30182750
2025-12-10,168.77,168.79,167.26,167.37,19646047
2025-12-11,164.03,164.14,163.85,164.06,27412529
2025-12-12,159.38,159.73,159.37,159.64,17250846
2025-12-15,163.72,164.03,163.19,163.41,26745116
2025-12-16,164.57,164.77,164.36,164.44,19548098
2025-12-17,162.61,163.26,162.04,162.28,20709710
2025-12-18,167.01,167.14,166.7,166.93,27651916
2025-12-19,168.19,168.34,167.28,167.33,22417687
2025-12-22,170.56,171.62,170.18,170.97,27282288
2025-12-23,171.35,171.51,171.14,171.23,23854952
2025-12-24,177.74,178.3,177.14,177.75,25404962
2025-12-25,182.21,184.08,182.0,183.51,27670518
2025-12-26,181.7,182.94,179.94,182.75,22899889
2025-12-29,185.88,186.33,184.98,186.03,19023701
2025-12-30,188.42,188.66,188.24,188.26,21806126
2025-12-31,192.56,193.51,192.22,193.01,32170835
2026-01-01,189.74,189.79,189.72,189.74,25697038
2026-01-02,192.25,193.39,192.03,192.16,19930609
2026-01-05,197.55,199.12,193.46,195.91,27409363
2026-01-06,188.59,190.27,187.28,189.87,27809893
2026-01-07,186.17,189.15,185.37,185.92,28119994
2026-01-08,179.56,179.75,178.85,179.27,19132976
2026-01-09,178.6,178.82,178.02,178.46,20905654
2026-01-12,181.02,181.17,180.5,180.83,20939024
2026-01-13,185.33,186.62,184.82,185.85,22836112
2026-01-14,186.02,186.4,185.88,186.15,28233515
2026-01-15,191.4,192.36,191.0,191.75,26777108
2026-01-16,188.5,190.5,185.82,187.1,27251301
2026-01-19,181.66,181.82,180.03,181.5,33124114
2026-01-20,181.4,181.83,181.34,181.38,29133345
2026-01-21,182.79,182.83,182.63,182.69,24149190
2026-01-22,183.61,184.64,181.01,182.64,17896688
2026-01-23,175.43,176.07,174.43,176.02,20712717
2026-01-26,176.96,177.91,174.18,175.79,23429769
2026-01-27,171.71,172.73,170.84,171.76,29974778
2026-01-28,173.92,173.95,173.85,173.89,24836008
2026-01-29,175.35,175.9,174.92,175.1,21062824
2026-01-30,172.34,172.44,172.08,172.21,20602642
2026-02-02,170.34,171.24,170.29,170.68,24582530
2026-02-03,166.75,168.24,166.04,167.51,30339925
2026-02-04,166.03,168.36,164.95,167.37,34546115
2026-02-05,170.32,170.41,170.2,170.32,23765388
2026-02-06,168.25,168.67,166.78,167.37,24731540
2026-02-09,168.92,169.19,168.8,168.95,17716349
2026-02-10,167.44,168.11,167.34,167.4,36635155
2026-02-11,164.69,165.41,164.44,165.07,16593982
2026-02-12,165.16,165.5,164.75,164.81,32029973
2026-02-13,161.83,162.37,161.12,161.81,22807984
2026-02-16,161.15,161.42,159.08,160.25,21403801
2026-02-17,156.95,157.16,156.71,156.88,18339978
2026-02-18,162.25,162.87,161.96,162.58,39460291
2026-02-19,162.74,162.77,162.63,162.73,26328949
2026-02-20,161.09,163.11,160.19,160.74,25127682
2026-02-23,161.55,161.91,161.26,161.41,30320394
2026-02-24,161.28,163.83,160.4,161.13,21095003
2026-02-25,160.52,160.58,160.51,160.54,25011075
2026-02-26,161.28,164.14,159.42,162.38,25338017
2026-02-27,164.54,164.73,164.41,164.65,21927125
2026-03-02,162.76,163.67,162.72,163.14,32197828
2026-03-03,161.81,162.77,160.52,161.51,23688073
2026-03-04,160.52,160.88,160.21,160.76,15681207
2026-03-05,154.33,154.73,154.06,154.28,23191015
2026-03-06,151.01,152.32,147.85,150.17,26495072
2026-03-09,153.67,154.1,153.3,153.96,19639040
2026-03-10,160.76,160.85,155.57,158.63,20112431
2026-03-11,156.76,158.16,155.77,157.97,21722445
2026-03-12,159.72,160.55,159.28,159.67,32327413
2026-03-13,160.4,161.35,159.35,160.61,22077051
2026-03-16,169.68,169.87,169.63,169.81,33574702
2026-03-17,172.53,173.9,171.77,173.32,21310297
2026-03-18,172.96,173.02,172.91,172.98,26950084
2026-03-19,170.08,170.08,170.08,170.08,22322543
2026-03-20,166.28,167.77,164.92,165.28,29524499
2026-03-23,165.88,167.46,165.78,165.94,18290355
2026-03-24,164.35,165.65,163.61,163.74,29457156
2026-03-25,159.55,159.73,159.52,159.65,25683216
2026-03-26,157.85,157.85,157.83,157.85,21160049
2026-03-27,154.78,155.03,154.55,154.85,24002671
2026-03-30,161.47,161.48,157.72,159.68,34203129
2026-03-31,162.48,162.57,162.05,162.28,25827067
2026-04-01,162.02,162.36,161.48,162.31,20783631
2026-04-02,167.59,167.92,165.47,166.74,17771840
2026-04-03,167.26,167.51,166.81,167.02,28032425
2026-04-06,166.23,166.74,163.57,164.5,26175071
2026-04-07,168.53,170.06,167.73,169.12,29170124
2026-04-08,170.54,170.99,170.44,170.82,16226651
2026-04-09,167.88,167.93,167.59,167.71,17966437
2026-04-10,167.76,168.02,165.32,167.19,31881275
2026-04-13,164.9,165.07,164.09,164.62,26988049
2026-04-14,160.59,160.67,160.55,160.63,28200405
2026-04-15,163.17,164.16,162.31,163.37,19223877
2026-04-16,169.58,170.43,169.11,169.14,19114076
2026-04-17,165.24,165.4,164.9,164.98,30947551
